date,ticker,action,price,qty,pnl,pnl_pct,days_held,hold_target,reason
2025-08-18,IAM.SN,BUY,842.2827758789062,1484,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-18,ILC.SN,BUY,12290.0,101,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-18,BCI.SN,BUY,40050.0,31,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-18,COLBUN.SN,BUY,147.2154541015625,8514,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-18,META,BUY,766.2274780273438,1635,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-18,SMU.SN,BUY,157.02432250976562,7983,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-18,AGUAS-A.SN,BUY,331.6956481933594,3779,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-18,CAP.SN,BUY,4821.0,130,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-28,IAM.SN,SELL,832.48876953125,1484,-14534.305419921875,-0.011627931412269933,10,10,"Hold period expired (10d >= 10d), P&L=-1.2%"
2025-08-28,ILC.SN,SELL,12700.0,101,41410.0,0.03336045565500407,10,10,"Hold period expired (10d >= 10d), P&L=3.3%"
2025-08-28,META,SELL,749.99169921875,1635,-26545.49835205078,-0.021189241151195515,10,10,"Hold period expired (10d >= 10d), P&L=-2.1%"
2025-08-28,SMU.SN,SELL,158.80215454101562,7983,14192.43310546875,0.011322016887794141,10,10,"Hold period expired (10d >= 10d), P&L=1.1%"
2025-08-28,AGUAS-A.SN,SELL,337.387451171875,3779,21509.323455810547,0.017159715569128098,10,10,"Hold period expired (10d >= 10d), P&L=1.7%"
2025-08-28,META,BUY,749.99169921875,1843,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-28,ILC.SN,BUY,12700.0,108,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-28,LTM.SN,BUY,24.469301223754883,56676,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-28,MSFT,BUY,507.529541015625,2732,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-28,SMU.SN,BUY,158.80215454101562,4367,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-29,BCI.SN,SELL,39101.0,31,-29419.0,-0.023695380774032458,11,10,"Hold period expired (11d >= 10d), P&L=-2.4%"
2025-08-29,COLBUN.SN,SELL,145.4755096435547,8514,-14813.887115478516,-0.011819034004456094,11,10,"Hold period expired (11d >= 10d), P&L=-1.2%"
2025-08-29,PARAUCO.SN,BUY,2230.0,705,0.0,0.0,0,10,V2 signal prob=50.00%
2025-08-29,BCI.SN,BUY,39101.0,20,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-03,CAP.SN,SELL,5359.0,130,69940.0,0.11159510475005185,16,10,"Hold period expired (16d >= 10d), P&L=11.2%"
2025-09-03,INVERCAP.SN,BUY,1475.300048828125,503,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-08,META,SELL,751.1798706054688,1843,2189.7998657226562,0.0015842460495982052,11,10,"Hold period expired (11d >= 10d), P&L=0.2%"
2025-09-08,PARAUCO.SN,SELL,2450.0,705,155100.0,0.09865470852017937,10,10,"Hold period expired (10d >= 10d), P&L=9.9%"
2025-09-08,BCI.SN,SELL,42199.0,20,61960.0,0.07923071021201504,10,10,"Hold period expired (10d >= 10d), P&L=7.9%"
2025-09-08,META,BUY,751.1798706054688,2085,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-08,FALABELLA.SN,BUY,5585.12890625,280,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-08,CGE.SN,BUY,293.0799865722656,2679,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-09,LTM.SN,SELL,23.16933822631836,56676,-73676.7028427124,-0.053126282011458296,12,10,"Hold period expired (12d >= 10d), P&L=-5.3%"
2025-09-09,BCI.SN,BUY,42498.0,24,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-11,SMU.SN,SELL,159.478759765625,4367,2954.7350158691406,0.004260680382863574,14,10,"Hold period expired (14d >= 10d), P&L=0.4%"
2025-09-11,ENELAM.SN,BUY,100.19891357421876,8856,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-15,INVERCAP.SN,SELL,1596.0999755859375,503,60762.36315917969,0.08188159883392365,12,10,"Hold period expired (12d >= 10d), P&L=8.2%"
2025-09-15,SONDA.SN,BUY,341.2300109863281,2476,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-16,ILC.SN,SELL,13231.0,108,57348.0,0.04181102362204724,19,10,"Hold period expired (19d >= 10d), P&L=4.2%"
2025-09-16,LTM.SN,BUY,23.049341201782227,49337,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-18,META,SELL,779.0883178710938,2085,58189.112548828125,0.037152815667344935,10,10,"Hold period expired (10d >= 10d), P&L=3.7%"
2025-09-18,META,BUY,779.0883178710938,1772,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-22,FALABELLA.SN,SELL,5942.25927734375,280,99996.50390625,0.0639430847682147,14,10,"Hold period expired (14d >= 10d), P&L=6.4%"
2025-09-22,CGE.SN,SELL,295.0,2679,5143.715972900391,0.006551158440363008,14,10,"Hold period expired (14d >= 10d), P&L=0.7%"
2025-09-22,BCI.SN,SELL,43890.0,24,33408.0,0.032754482563885357,13,10,"Hold period expired (13d >= 10d), P&L=3.3%"
2025-09-22,ENELAM.SN,SELL,100.39891052246094,8856,1771.1729736326865,0.0019959991691330336,11,10,"Hold period expired (11d >= 10d), P&L=0.2%"
2025-09-22,CGE.SN,BUY,295.0,4896,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-22,PARAUCO.SN,BUY,2540.0,568,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-22,MALLPLAZA.SN,BUY,2565.0,563,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-22,CHILE.SN,BUY,143.25,5049,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-25,SONDA.SN,SELL,364.9800109863281,2476,58805.0,0.06960114654438053,10,10,"Hold period expired (10d >= 10d), P&L=7.0%"
2025-09-25,COLBUN.SN,BUY,154.49522399902344,5265,0.0,0.0,0,10,V2 signal prob=50.00%
2025-09-30,PARAUCO.SN,SELL,2434.0,568,-60208.0,-0.04173228346456693,8,10,Trailing stop -5.5% from peak after 8d
2025-09-30,VOLCAN.SN,BUY,3258.39697265625,336,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-03,CGE.SN,SELL,295.0,4896,0.0,0.0,11,10,"Hold period expired (11d >= 10d), P&L=0.0%"
2025-10-03,MALLPLAZA.SN,SELL,2580.0,563,8445.0,0.005847953216374269,11,10,"Hold period expired (11d >= 10d), P&L=0.6%"
2025-10-03,CMPC.SN,BUY,1379.9000244140625,1448,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-03,NVDA,BUY,187.59939575195312,5330,0.0,0.0,0,10,V2 signal prob=50.00%
2025-10-06,LTM.SN,SELL,20.399417877197266,49337,-130739.26706504822,-0.1149674214714676,20,10,"Hold period expired (20d >= 10d), P&L=-11.5%"
2025-10-06,META,SELL,715.0767822265625,1772,-113428.44116210938,-0.08216210431629455,18,10,"Hold period expired (18d >= 10d), P&L=-8.2%"
2025-10-06,CHILE.SN,SELL,147.0,5049,18933.75,0.02617801047120419,14,10,"Hold period expired (14d >= 10d), P&L=2.6%"
2025-10-06,COLBUN.SN,SELL,149.5953826904297,5265,-25797.664489746094,-0.031715163626189,11,10,"Hold period expired (11d >= 10d), P&L=-3.2%"
2025-10-06,INVERCAP.SN,BUY,1646.0,729,0.0,0.0,0,10,V2 signal prob=50.00%
