fold,train_start,train_end,test_start,test_end,precision,recall,f1,accuracy,support
1,2016-12-16,2018-01-11,2018-01-11,2019-01-29,0.221275911939579,0.5622703144140465,0.3175738007380074,0.577587437544611,14010
2,2016-12-16,2019-01-29,2019-01-29,2020-02-10,0.18340611353711792,0.4737527114967462,0.26443879404286236,0.5663811563169164,14010
3,2016-12-16,2020-02-10,2020-02-10,2021-02-15,0.2820099422275964,0.5774415405777167,0.3789492688210868,0.5089221984296931,14010
4,2016-12-16,2021-02-15,2021-02-15,2022-02-16,0.2765877489665539,0.6606822262118492,0.3899337748344371,0.5068522483940043,14010
5,2016-12-16,2022-02-16,2022-02-16,2023-02-16,0.29840454299621416,0.6432526960069951,0.4076844924725224,0.5422555317630264,14010
6,2016-12-16,2023-02-16,2023-02-16,2024-02-22,0.28829981718464354,0.5199472469502143,0.37092790779724805,0.6182012847965739,14010
7,2016-12-16,2024-02-22,2024-02-22,2025-02-27,0.2628731717090763,0.5040338071456012,0.3455359494337635,0.6452533904354033,14010
8,2016-12-16,2025-02-27,2025-02-27,2026-03-03,0.2892044586959841,0.6031847133757962,0.3909588192795954,0.5788008565310493,14010
