Date,Ticker,Open,High,Low,Close,Volume
2016-03-14 00:00:00-03:00,CHILE.SN,41.980026718781176,41.980026718781176,41.741436467632774,41.894813537597656,11285559
2016-03-15 00:00:00-03:00,CHILE.SN,41.89481876411208,42.03683758086599,41.75280470176266,41.991390228271484,14667107
2016-03-16 00:00:00-03:00,CHILE.SN,41.98002859219785,42.30950404309136,41.03135856674241,42.21293258666992,16542733
2016-03-17 00:00:00-03:00,CHILE.SN,42.212935922904876,42.59922177912012,42.01979299479725,42.26406478881836,22117098
2016-03-18 00:00:00-03:00,CHILE.SN,42.264063639256605,44.30909460565533,42.264063639256605,43.3547477722168,56735678
2016-03-21 00:00:00-03:00,CHILE.SN,45.36088622486754,45.36088622486754,42.67441998974281,42.977535247802734,15712675
2016-03-22 00:00:00-03:00,CHILE.SN,43.09046924856728,43.09046924856728,42.57932438883014,42.86461639404297,20464105
2016-03-23 00:00:00-03:00,CHILE.SN,42.86460958252513,43.07857357803044,42.30591946030187,42.406959533691406,11877544
2016-03-24 00:00:00-03:00,CHILE.SN,42.406963078340155,42.78734575743467,42.25837267441652,42.561492919921875,10668309
2016-03-28 00:00:00-03:00,CHILE.SN,42.7813969167831,42.912154070986716,42.44262018278467,42.59120559692383,5835604
2016-03-29 00:00:00-03:00,CHILE.SN,42.59121293496279,43.09046896641236,42.54366758400783,43.01914596557617,9209933
2016-03-30 00:00:00-03:00,CHILE.SN,43.38170263058208,43.387647043356964,43.03698140808294,43.280662536621094,15530799
2016-03-31 00:00:00-03:00,CHILE.SN,43.28066072803937,43.28066072803937,42.37724930732046,42.81706619262695,16398851
2016-04-01 00:00:00-03:00,CHILE.SN,42.81706114565659,42.906217374237116,42.40696139691835,42.87055587768555,12905176
2016-04-04 00:00:00-03:00,CHILE.SN,42.87055897577946,42.87055897577946,42.49611572212998,42.67442321777344,5089615
2016-04-05 00:00:00-03:00,CHILE.SN,42.53771899780625,42.78734450183632,42.25837143434094,42.341583251953125,13519056
2016-04-06 00:00:00-03:00,CHILE.SN,42.34158290472218,42.59715281854345,41.60458527364347,41.94336700439453,10479319
2016-04-07 00:00:00-03:00,CHILE.SN,41.943369479983744,42.43668107563091,41.943369479983744,42.38318634033203,15845709
2016-04-08 00:00:00-03:00,CHILE.SN,42.38318250857245,43.14989720037585,42.34752598746817,42.98347854614258,14718533
2016-04-11 00:00:00-03:00,CHILE.SN,42.98348157108577,43.26877355522185,42.79329023126399,43.11423873901367,7068901
2016-04-12 00:00:00-03:00,CHILE.SN,43.1142384140969,43.10829400207163,42.60309857037749,42.98942565917969,8686065
2016-04-13 00:00:00-03:00,CHILE.SN,42.98942817157258,43.10829652141144,42.496116560695434,42.54960632324219,22336945
2016-04-14 00:00:00-03:00,CHILE.SN,42.54960600468531,42.79329208931496,42.37724789359008,42.4247932434082,13754882
2016-04-15 00:00:00-03:00,CHILE.SN,42.19893204153604,42.620920566046976,41.901756253592715,42.5555419921875,9101711
2016-04-18 00:00:00-03:00,CHILE.SN,42.55555081995181,42.56743964472072,42.05629479571257,42.222713470458984,12351403
2016-04-19 00:00:00-03:00,CHILE.SN,42.22271577971809,42.31781145985938,41.96714582843813,42.1573371887207,15887619
2016-04-20 00:00:00-03:00,CHILE.SN,42.15733396919865,42.37724737623447,42.06223829631975,42.12761688232422,21673565
2016-04-21 00:00:00-03:00,CHILE.SN,42.12761692593361,42.73385743736823,42.13356133819536,42.680362701416016,7283406
2016-04-22 00:00:00-03:00,CHILE.SN,42.68036213139091,42.733856866628656,42.05035392813059,42.103843688964844,9932959
2016-04-25 00:00:00-03:00,CHILE.SN,42.10384618605952,42.347532279164376,42.09790177352461,42.21083068847656,3794410
2016-04-26 00:00:00-03:00,CHILE.SN,42.210822468297614,42.79328524402134,42.0800653156085,42.24053955078125,6580732
2016-04-27 00:00:00-03:00,CHILE.SN,42.24054213136836,42.674419521180646,42.198936223588326,42.626869201660156,8827037
2016-04-28 00:00:00-03:00,CHILE.SN,42.62687044961601,42.912157451881654,42.49016887319602,42.846778869628906,12938481
2016-04-29 00:00:00-03:00,CHILE.SN,42.846782282506354,43.090468369587526,42.49611667005636,43.04886245727539,12628451
2016-05-02 00:00:00-03:00,CHILE.SN,43.04886474253153,43.06075356793859,42.55555310419735,42.70414352416992,4717719
2016-05-03 00:00:00-03:00,CHILE.SN,42.70414123194853,42.60310114462379,42.09195629561563,42.222713470458984,15700168
2016-05-04 00:00:00-03:00,CHILE.SN,42.2583756346155,42.49611731290508,41.90176560438301,42.41291046142578,10184839
2016-05-05 00:00:00-03:00,CHILE.SN,42.41290767864127,42.76357327338808,42.09195419552697,42.187049865722656,43070838
2016-05-06 00:00:00-03:00,CHILE.SN,42.187049670381555,42.329695662216295,41.90176266111547,42.288089752197266,5998733
2016-05-09 00:00:00-03:00,CHILE.SN,42.28809185719976,42.49017203089026,41.9017647468875,42.323753356933594,7783266
2016-05-10 00:00:00-03:00,CHILE.SN,42.32374864301647,42.60309619741782,42.02063339064462,42.50205612182617,11961275
2016-05-11 00:00:00-03:00,CHILE.SN,42.50205385615948,42.61497777471672,42.157327740304815,42.24053955078125,13075787
2016-05-12 00:00:00-03:00,CHILE.SN,42.24054531980987,42.787346676352406,42.299979492894394,42.38318634033203,18001582
2016-05-13 00:00:00-03:00,CHILE.SN,42.383190626375224,42.49611954617868,42.19894367630034,42.401023864746094,8237658
2016-05-16 00:00:00-04:00,CHILE.SN,42.401019576899486,42.79329108854156,42.25837358197383,42.38318634033203,9512260
2016-05-17 00:00:00-04:00,CHILE.SN,42.38318039567322,42.51394252228341,41.97308067938773,42.014686584472656,27019294
2016-05-18 00:00:00-04:00,CHILE.SN,42.01469405816873,42.1989409965434,41.901765145536594,42.121673583984375,13265551
2016-05-19 00:00:00-04:00,CHILE.SN,42.080070292669205,42.12761564050536,41.765061222040174,41.90770721435547,12021418
2016-05-20 00:00:00-04:00,CHILE.SN,41.90770577276616,42.02063467519834,41.66996411855325,41.78883743286133,17850462
2016-05-23 00:00:00-04:00,CHILE.SN,41.78883788616374,41.87204473011905,41.63430307332726,41.699684143066406,11991367
2016-05-24 00:00:00-04:00,CHILE.SN,41.6996885300822,41.86016031013654,41.693744117516445,41.836387634277344,10787661
2016-05-25 00:00:00-04:00,CHILE.SN,41.836380190837716,42.01468766406715,41.61052737434907,41.7353401184082,11518819
2016-05-26 00:00:00-04:00,CHILE.SN,41.73534512310959,41.812612533175034,41.61053236408352,41.67591094970703,12428985
2016-05-27 00:00:00-04:00,CHILE.SN,41.67591088817191,41.75911773593193,41.54515371711794,41.562984466552734,30817732
2016-05-30 00:00:00-04:00,CHILE.SN,41.59865009226743,41.84233370911551,41.55704417705809,41.687801361083984,5836412
2016-05-31 00:00:00-04:00,CHILE.SN,41.68779470849681,41.68779470849681,41.366846212451314,41.455997467041016,22851389
2016-06-01 00:00:00-04:00,CHILE.SN,41.45599583247518,41.53920515913235,41.3430694221265,41.438167572021484,13200268
2016-06-02 00:00:00-04:00,CHILE.SN,41.43816894574695,41.604585117376665,41.18854095749999,41.44411087036133,15172644
2016-06-03 00:00:00-04:00,CHILE.SN,41.44411219974752,41.990913539502394,41.45005661175418,41.883934020996094,10291096
2016-06-06 00:00:00-04:00,CHILE.SN,41.883939624324846,41.883939624324846,41.58676126666361,41.687801361083984,11942105
2016-06-07 00:00:00-04:00,CHILE.SN,41.68779531918566,41.75911582646188,41.598644063289974,41.699684143066406,18926927
2016-06-08 00:00:00-04:00,CHILE.SN,41.69968571355091,41.69968571355091,41.545153382096125,41.60458755493164,29017884
2016-06-09 00:00:00-04:00,CHILE.SN,41.604590852407206,41.72346169470139,41.527325924156855,41.58081817626953,24205581
2016-06-10 00:00:00-04:00,CHILE.SN,41.58081422257312,41.729399652310235,41.48571855266068,41.52137756347656,6145655
2016-06-13 00:00:00-04:00,CHILE.SN,41.52137460149658,41.580811256353144,41.30740811585631,41.503543853759766,12072102
2016-06-14 00:00:00-04:00,CHILE.SN,41.503547682470476,41.503547682470476,41.22420507896117,41.33713150024414,9792901
2016-06-15 00:00:00-04:00,CHILE.SN,41.33712735434224,41.461940100294356,41.33712735434224,41.37873077392578,12122850
2016-06-16 00:00:00-04:00,CHILE.SN,41.3787379930896,41.604590852407206,41.31335940290809,41.58081817626953,10975936
2016-06-17 00:00:00-04:00,CHILE.SN,41.58081468416084,41.895818783342435,41.58081468416084,41.70562744140625,27757999
2016-06-20 00:00:00-04:00,CHILE.SN,41.70562770094139,41.8423292833098,41.61053202938151,41.71751403808594,5408000
2016-06-21 00:00:00-04:00,CHILE.SN,41.78289727445343,41.913654451421024,41.60458977204137,41.86610412597656,14693356
2016-06-22 00:00:00-04:00,CHILE.SN,41.86610301199355,41.90176451152707,41.77100733803869,41.872047424316406,11824661
2016-06-23 00:00:00-04:00,CHILE.SN,41.87205193227444,42.091960391070224,41.604593144180136,42.06818771362305,12353167
2016-06-24 00:00:00-04:00,CHILE.SN,41.604585988028695,41.84232764482049,41.426280989035675,41.699684143066406,15025870
2016-06-28 00:00:00-04:00,CHILE.SN,41.69968512874853,42.03251997404216,41.36684779625319,41.46788787841797,12286941
2016-06-29 00:00:00-04:00,CHILE.SN,41.46788487251401,41.83043677752816,41.54514978795622,41.776947021484375,16375820
2016-06-30 00:00:00-04:00,CHILE.SN,41.776954468155544,42.19894310328375,41.75318179172121,42.1573371887207,28231767
2016-07-01 00:00:00-04:00,CHILE.SN,42.15733179981056,42.45450762766601,42.08006936767432,42.418846130371094,7340390
2016-07-04 00:00:00-04:00,CHILE.SN,42.53957108090142,42.746163030186885,42.53957108090142,42.606407165527344,11399609
2016-07-05 00:00:00-04:00,CHILE.SN,42.606408454108426,42.89199393866549,42.53349364627304,42.74008560180664,30168281
2016-07-06 00:00:00-04:00,CHILE.SN,42.74008130534247,42.74008130534247,42.41196470306728,42.65501403808594,7985604
2016-07-07 00:00:00-04:00,CHILE.SN,42.65501567485964,42.84338140392869,42.51526478906288,42.752235412597656,16187385
2016-07-08 00:00:00-04:00,CHILE.SN,42.75223691160506,42.78262056791516,42.533492494024756,42.72793197631836,14352197
2016-07-11 00:00:00-04:00,CHILE.SN,42.727934760401695,42.89806931849429,42.53349526543873,42.83730697631836,6204037
2016-07-12 00:00:00-04:00,CHILE.SN,42.83730295933673,43.098578518990735,42.77654062285867,42.99528503417969,18356318
2016-07-13 00:00:00-04:00,CHILE.SN,42.99528783795518,43.3234044763336,42.68540238891072,42.770469665527344,44603235
2016-07-14 00:00:00-04:00,CHILE.SN,42.770469375455136,43.32340418251135,42.95883014234123,43.19580078125,16924730
2016-07-15 00:00:00-04:00,CHILE.SN,43.19579508863326,43.657588811990635,43.062117958187706,43.53606414794922,13446030
2016-07-18 00:00:00-04:00,CHILE.SN,43.536071343729695,44.35636047438776,43.141118607517534,43.85203552246094,9279740
2016-07-19 00:00:00-04:00,CHILE.SN,43.852031510488814,44.35635641627553,43.7487330512293,44.34420394897461,17644410
2016-07-20 00:00:00-04:00,CHILE.SN,44.34420999601591,44.41712480976456,43.15327301252533,43.91279983520508,15924667
2016-07-21 00:00:00-04:00,CHILE.SN,43.9128001219697,43.99178868351123,43.68798193197857,43.80950164794922,8461831
2016-07-22 00:00:00-04:00,CHILE.SN,43.809495387733925,44.47788108928478,43.7487330512293,44.34420394897461,8713897
2016-07-25 00:00:00-04:00,CHILE.SN,44.34420054487649,44.44749402180333,44.046467606061064,44.37458419799805,6543270
2016-07-26 00:00:00-04:00,CHILE.SN,44.37458951206272,44.356358323125924,44.2287598981825,44.350284576416016,20169197
2016-07-27 00:00:00-04:00,CHILE.SN,44.35028424371825,44.36243671145044,43.93102161975601,44.0403938293457,12981551
